image_id,source_split,source_folder_label,page_frame_status,confidence,current_bounding_box_coverage,page_size_rules_assessable,placement_rules_assessable,notes
5285e56ec2338975,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
1fd4f5ca5fcb73ad,valid,Happy,cropped_or_content_only,0.7,0.9875,False,False,
0329a67d9c98dd81,train,Happy,likely_full_page,0.6942,0.7464,True,True,
c67a82778c0f30c5,train,Happy,cropped_or_content_only,0.6,0.6141,False,False,
26dd4f57c3c69b84,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
894f6e62184972fc,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
5f2bcea113974a1c,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
a526350f24640d8a,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
ab21e5baa9dde259,train,Happy,likely_full_page,0.6114,0.935,True,True,
e2594f3f05ec7b5d,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
be5a92855a0815da,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
c2735bd02154d3c7,train,Happy,cropped_or_content_only,0.8,1.0,False,False,
a5483f4e11d7bfe7,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
639124da51160ad9,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
3e6e0c12c6d795ae,train,Happy,cropped_or_content_only,0.8,1.0,False,False,
820b8da570a009da,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
a9f4f4de94a5c4f1,valid,Happy,cropped_or_content_only,1.0,1.0,False,False,
525551a87ef42dec,train,Happy,cropped_or_content_only,1.0,1.0,False,False,
ec64499ec5d79c7c,valid,Happy,likely_full_page,0.6733,0.943,True,True,
498da5c4d4734c02,train,Happy,cropped_or_content_only,1.0,0.95,False,False,
1b2f531b0d237303,train,Happy,cropped_or_content_only,0.8,1.0,False,False,
86493c351d92a189,train,Sad,uncertain,0.2734,0.8634,False,False,
e1afb08630355138,train,Sad,cropped_or_content_only,1.0,0.7926,False,False,
799906397e84fedc,valid,Sad,cropped_or_content_only,1.0,1.0,False,False,
fd30c6472ac420ac,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
7766e9305c9709df,train,Sad,cropped_or_content_only,0.8,1.0,False,False,
4d65418b77dc10c9,train,Sad,uncertain,0.1365,0.9792,False,False,
42ababd0dfaebe9d,valid,Sad,cropped_or_content_only,0.7,0.9906,False,False,
98133f16eadc79b9,train,Sad,cropped_or_content_only,0.6,0.9579,False,False,
f0d1ab94d9902815,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
339aa352c5b5b96e,train,Sad,cropped_or_content_only,0.6,0.886,False,False,
ae9de09ddb8b96d9,train,Sad,cropped_or_content_only,1.0,0.9516,False,False,
dcd7a36d04e19279,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
881257bbe1213204,train,Sad,cropped_or_content_only,0.8,1.0,False,False,
0de6a3af7c96771f,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
10d0ac63ad4f801a,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
f4ee2b7cc0995c78,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
9cfd1391019c94d2,train,Sad,full_page_detected,0.9975,0.8989,True,True,
033ff5db0ce8b2e0,valid,Sad,cropped_or_content_only,1.0,1.0,False,False,
7436790f22f7317e,train,Sad,likely_full_page,0.6589,0.8723,True,True,
395f1b6f6512c54e,train,Sad,uncertain,0.3499,0.6653,False,False,
620a21e16cb9f79d,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
0401c741a44d0b3e,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
48ddefd73fadbbfa,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
f5e8afdc2dcb634f,valid,Sad,cropped_or_content_only,1.0,1.0,False,False,
628265c6a104cb77,train,Sad,cropped_or_content_only,0.8,1.0,False,False,
8798efbdea87d292,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
9dfe0a04f2172f2e,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
c5aba66111a97a07,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
9783fe715ed309b4,train,Sad,cropped_or_content_only,0.8,1.0,False,False,
61e76f14782b1340,train,Sad,cropped_or_content_only,1.0,1.0,False,False,
