image_id,relative_path,cohort_role,original_split,already_exposed_to_observer_verifier_before_e6,has_cached_evidence,excluded_reason
p2b_0063,outputs/phase2c1/private_images/p2b_0063.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0065,outputs/phase2c1/private_images/p2b_0065.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0066,outputs/phase2c1/private_images/p2b_0066.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0067,outputs/phase2c1/private_images/p2b_0067.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0069,outputs/phase2c1/private_images/p2b_0069.jpeg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0070,outputs/phase2c1/private_images/p2b_0070.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0071,outputs/phase2c1/private_images/p2b_0071.jpg,e6_expanded_new,valid,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0072,outputs/phase2c1/private_images/p2b_0072.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0074,outputs/phase2c1/private_images/p2b_0074.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0075,outputs/phase2c1/private_images/p2b_0075.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0076,outputs/phase2c1/private_images/p2b_0076.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0077,outputs/phase2c1/private_images/p2b_0077.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0078,outputs/phase2c1/private_images/p2b_0078.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0079,outputs/phase2c1/private_images/p2b_0079.jpg,e6_expanded_new,train,False,False,no cached Observer/Verifier evidence yet (live perception run pending/failed for this image)
p2b_0013,outputs/phase2c1/private_images/p2b_0013.jpg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
p2b_0015,outputs/phase2c1/private_images/p2b_0015.jpg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
p2b_0048,outputs/phase2c1/private_images/p2b_0048.jpg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
p2b_0057,outputs/phase2c1/private_images/p2b_0057.jpeg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
p2b_0064,outputs/phase2c1/private_images/p2b_0064.jpg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
p2b_0073,outputs/phase2c1/private_images/p2b_0073.jpg,locked_benchmark_reserved_do_not_process,test,False,False,"reserved as locked independent benchmark (original_split=='test' in private_pilot_mapping.csv, never used in E6-PILOT) -- not processed, not inspected, per explicit instruction to preserve a genuinely blind set"
