rule_id,version,source_type,arabic_wording_present,english_translation_present,citation_title,doi_or_pmid,recorded_finding_per_registry,population_sample_size_ages_protocol,target_construct,applicability_to_spontaneous_free_drawing,technical_implementation_status,detector_validation_status,professional_review_status,literature_support_status,doar_empirical_validation_status,max_permitted_interpretation,effective_version
PSY_AR_CIRCLES_011,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,loneliness/social need via shape,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_TRANSPORT_012,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,sociability/adventurousness via object choice,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_HEARTS_013,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,romantic/social personality via symbol,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.15,v1
PSY_AR_SIZE_HALF_014,v1,psychologist_supplied_hypothesis + size_research_citation,yes,yes,"The effect of affective characterizations on the use of size and colour in drawings produced by children in the absence of a model; Size and emotion or depth and emotion?; Drawing conclusions...(1998)",DOI 10.1080/0144341042000211670; DOI 10.1186/2050-7283-1-21; DOI 10.1111/j.2044-8260.1998.tb01289.x,"In an instructed task children drew positively-characterized topics larger (does not validate fixed thresholds); size may reflect perceived depth/proximity, sensitive to developmental/task factors.",UNVERIFIED - note source studies used INSTRUCTED tasks not spontaneous free drawing; applicability gap is real and already flagged by the registry itself,openness/introversion via page coverage,"Tier 1 (page geometry is prompt-independent and measurable); BUT underlying cited studies used instructed tasks, so applicability to spontaneous free drawing is itself uncertain - flag for Phase-1 review",IMPLEMENTED_UNVALIDATED,detector (segmentation/composition) exists and runs; coverage thresholds (0.40-0.60) not clinically validated on this dataset,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED (studies real; do not validate this specific claim or a free-drawing context),not evaluated,weak_hypothesis only; confidence_ceiling=0.20,v1
PSY_AR_SIZE_FULL_015,v1,psychologist_supplied_hypothesis + size_research_citation,yes,yes,"same as PSY_AR_SIZE_HALF_014 sources",DOI 10.1080/0144341042000211670; DOI 10.1186/2050-7283-1-21; DOI 10.1111/j.2044-8260.1998.tb01289.x,"No validated 90-100% threshold for self-esteem exists in the cited literature (registry's own finding text).",UNVERIFIED; instructed-task source studies,self-esteem via full-page coverage,Tier 1 geometry measurable; instructed-task source-study caveat as above,IMPLEMENTED_UNVALIDATED,detector exists; >=0.90 threshold not clinically validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.15,v1
PSY_AR_SIZE_SMALL_016,v1,psychologist_supplied_hypothesis + size_research_citation,yes,yes,"same as PSY_AR_SIZE_HALF_014 sources",DOI 10.1080/0144341042000211670; DOI 10.1186/2050-7283-1-21; DOI 10.1111/j.2044-8260.1998.tb01289.x,"Age, motor skill, instructions, subject size, and available time may explain small scale (registry's own finding text).",UNVERIFIED; instructed-task source studies,instability/fear via small coverage,Tier 1 geometry measurable; instructed-task source-study caveat as above,IMPLEMENTED_UNVALIDATED,detector exists; <=0.20 threshold not clinically validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.15,v1
PSY_AR_PLACE_TOP_017,v1,psychologist_supplied_hypothesis + placement_research_citation,yes,yes,"Children's drawings of topics differing in emotional significance: effects on placement relative to a self-drawing; Drawing conclusions...(1998)",DOI 10.1111/j.1469-7610.1992.tb00928.x; DOI 10.1111/j.2044-8260.1998.tb01289.x,"Relative placement effects were weak and easily masked; study did not validate top/left/right personality meanings (registry's own finding text).",UNVERIFIED,fantasy/adjustment via top placement,Tier 1 (centroid placement is prompt-independent and measurable),IMPLEMENTED_UNVALIDATED,detector (composition/centroid) exists and runs; placement_effects_weak_not_specific per registry's own scientific_support field,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_PLACE_LEFT_018,v1,psychologist_supplied_hypothesis + placement_research_citation,yes,yes,"same as PSY_AR_PLACE_TOP_017 sources",DOI 10.1111/j.1469-7610.1992.tb00928.x; DOI 10.1111/j.2044-8260.1998.tb01289.x,"Handedness, script direction, composition, copying, and task constraints may influence placement (registry's own finding text).",UNVERIFIED,introversion via left placement,Tier 1,IMPLEMENTED_UNVALIDATED,detector exists,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_PLACE_RIGHT_019,v1,psychologist_supplied_hypothesis + placement_research_citation,yes,yes,"same as PSY_AR_PLACE_TOP_017 sources",DOI 10.1111/j.1469-7610.1992.tb00928.x; DOI 10.1111/j.2044-8260.1998.tb01289.x,"Handedness, script direction, composition, copying, and task constraints may influence placement (registry's own finding text).",UNVERIFIED,extroversion via right placement,Tier 1,IMPLEMENTED_UNVALIDATED,detector exists,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
NEW_CANDIDATE_HTP_META_2023,not yet assigned,systematic_review_meta_analysis (new candidate, not yet linked to any rule),n/a,n/a,"Analysis of the screening and predicting characteristics of the house-tree-person drawing test for mental disorders: a systematic review and meta-analysis (Guo et al.)",PMC9848786,"Per this session's web search summary only - not independently re-read in full text this session: small number of significant indicators per study; low cross-study consistency; HTP indicator system found not reliable for predicting mental health.",UNVERIFIED - full text not retrieved this session,HTP-specific indicators and mental-health screening,INAPPLICABLE_TO_FREE_DRAWING (HTP is an instructed, standardized-prompt test; DOAR analyses spontaneous free drawings per project constraint),n/a,n/a,not yet reviewed,CATALOGUED_RESEARCH_ONLY,not evaluated,"Reference only - for SCIENTIFIC_LIMITATIONS.md boundary-setting, not an activatable rule",candidate
NEW_CANDIDATE_ABUSE_SYSREV_2012,not yet assigned,systematic_review (new candidate; boundary reference only),n/a,n/a,"Systematic review concerning projective drawings and identification of child sexual abuse",PMID 22467642,"Per this session's web search summary only - not independently re-read in full text this session; cited by user as a key boundary reference.",UNVERIFIED - full text not retrieved this session,child sexual abuse identification via drawings,INAPPLICABLE_TO_FREE_DRAWING as a diagnostic signal - this reference exists specifically to justify why DOAR must NEVER attempt abuse/safety inference from a drawing (Section 6 prohibited list),n/a,n/a,not yet reviewed,CATALOGUED_RESEARCH_ONLY,not evaluated,"Reference only - grounds the absolute prohibition on abuse/safety inference in SCIENTIFIC_LIMITATIONS.md; must never become an activatable rule",candidate
NEW_CANDIDATE_AAP_ADHD_2019,not yet assigned,clinical_practice_guideline (new candidate; boundary reference only),n/a,n/a,"American Academy of Pediatrics ADHD Clinical Practice Guideline",PMC7067282,"Per this session's web search summary only - not independently re-read in full text this session; cited by user as a key boundary reference.",UNVERIFIED - full text not retrieved this session,ADHD diagnostic criteria (multi-informant, multi-setting clinical process),INAPPLICABLE_TO_FREE_DRAWING - ADHD diagnosis requires a structured clinical process per official guidance and cannot be established from a single drawing,n/a,n/a,not yet reviewed,CATALOGUED_RESEARCH_ONLY,not evaluated,"Reference only - grounds the absolute prohibition on ADHD/psychiatric diagnosis from a drawing in SCIENTIFIC_LIMITATIONS.md",candidate
