annotation_id,canonical_observable_id,human_label,plain_definition,positive_example_description,negative_example_description,ambiguous_case_description,annotation_type,allowed_values,region_annotation_required,task_requirement,age_context_required,material_context_required,notes
ANNOT_11_STRAIGHTNESS,straightness,Line straightness,How straight vs. curved the main strokes are.,Ruler-straight lines throughout.,"Freehand curved, wavy strokes throughout.",Mostly straight strokes with a few deliberately curved elements (e.g. a curved smile).,ordinal,CURVED|MIXED|STRAIGHT|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.straightness (EG_C3).
ANNOT_12_CHROMATIC_COLOUR_USE,colour_coverage,Chromatic colour use,How much of the drawing uses visibly saturated colour (not just black/grey/white).,"A drawing filled with bright red, blue, and green.",A drawing done entirely in pencil (greyscale).,A drawing using only very pale/washed-out colour.,ordinal,MOSTLY_ACHROMATIC|MIXED|STRONGLY_COLOURED|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for colour.chromatic_coverage (EG_D1). Never conflated with how much of the PAGE has any mark on it at all.
ANNOT_13_COLOUR_COUNT,colour_diversity_low,Number of distinct colours,Count of visibly distinct colours used.,A drawing using 5+ clearly different colours.,A drawing using a single colour throughout.,Several very close shades of the same hue (e.g. light and dark blue).,count,0|1|2|3|4|5_OR_MORE|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for colour.diversity (EG_D2).
ANNOT_14_SHADING_DENSITY,whole_drawing_shading_density,Shading density,How much local shading/hatching texture is present.,Areas densely filled with hatching or scribble-shading.,"Only clean outlines, no shading at all.","Light, sparse shading in only a small part of the drawing.",ordinal,NONE|LIGHT|HEAVY|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for a future whole_drawing_shading_density measurement (EG_D5) -- not yet implemented in formal_features.py.
ANNOT_15_SYMMETRY,bilateral_symmetry,Left-right symmetry,How mirror-symmetric the drawing (or a specific shape) looks left-to-right.,A face or house drawn as a near-perfect mirror image left-to-right.,A scene where the left and right sides look nothing alike.,A symmetric shape drawn off-center on the page.,ordinal,ASYMMETRIC|SOMEWHAT_SYMMETRIC|HIGHLY_SYMMETRIC|CANNOT_ASSESS,no,ANY_DRAWING,no,no,"Ground truth for symmetry.bilateral (EG_E1). Rate the SHAPE's own symmetry, not its position on the page."
ANNOT_16_SPACING_REGULARITY,spacing_regularity,Spacing regularity,"How evenly spaced repeated elements are (e.g. a row of dots, stars, or trees).",A neat grid of evenly spaced repeated shapes.,"Repeated shapes scattered at random, irregular distances apart.",Fewer than 3 repeated elements present (cannot meaningfully assess spacing pattern).,ordinal,REGULAR|SOMEWHAT_IRREGULAR|IRREGULAR|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for symmetry.spacing_regularity (EG_E2). Only applicable with >=3 repeated elements.
ANNOT_17_DETAIL_LEVEL,details_of_objects_environment,Level of detail,How much fine detail is present relative to the marked area.,Densely detailed drawing with many small added elements.,"A very simple, minimal drawing with almost no fine detail.",High detail concentrated in only one part of the drawing.,ordinal,SPARSE|MODERATE|HIGHLY_DETAILED|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for scene.detail_density (EG_E3).
ANNOT_18_SPATIAL_DISTRIBUTION,space,Spatial distribution across the page,How evenly marks are distributed across the whole page vs. concentrated in one area.,Marks spread fairly evenly across the entire page.,All marks concentrated in one small corner or area.,Two separate concentrated clusters with empty space between them.,ordinal,CONCENTRATED|MIXED|EVENLY_SPREAD|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for fill.global_spatial_density_uniformity (EG_E4).
ANNOT_19_REGION_ORIENTATION_CONSISTENCY,region_colouring_direction_coherence,Within-region orientation consistency (Step 10 worked example),How consistently the colouring strokes INSIDE one segmented region (e.g. a shirt) follow similar directions.,A shirt coloured with all-vertical strokes.,A shirt coloured with strokes going in many different directions.,"A region only partially coloured, with the rest left blank.",ordinal,LOW|MEDIUM|HIGH|CANNOT_ASSESS,yes,ANY_DRAWING,no,no,Requires a segmented region -- see E_GRAPHIC_EXPERIMENT_PLAN.json's region_colouring_direction_experiment. Deferred until a segmentation mask exists.
ANNOT_20_REGION_FILL_UNIFORMITY,fill_uniformity,Within-region fill uniformity,How evenly the colouring fills the segmented region (vs. patchy/uneven coverage).,A shirt coloured solidly and evenly throughout.,"A shirt with large uncoloured gaps or very patchy, uneven fill.","Deliberate texture/pattern (e.g. stripes) that is uneven by design, not by inconsistent effort.",ordinal,LOW|MEDIUM|HIGH|CANNOT_ASSESS,yes,ANY_DRAWING,no,no,Requires a segmented region -- deferred (EG_F4).
ANNOT_21_REGION_CROSSHATCH_PRESENT,cross_hatching,Cross-hatching present within region,Whether the colouring inside the region shows visible cross-hatching (two or more crossing stroke directions used as a shading technique).,A region shaded with visible criss-crossed pencil strokes.,A region filled with a single smooth colour or single-direction strokes.,A small area of incidental overlap that may not be deliberate cross-hatching.,categorical,PRESENT|NOT_PRESENT|UNCERTAIN,yes,ANY_DRAWING,no,no,Requires a segmented region -- deferred (related to EG_F1/EG_C2).
ANNOT_22_REGION_BOUNDARY_OVERFLOW,boundary_overflow,Boundary overflow (colouring outside the lines),Whether the colouring extends visibly beyond the region's own outline boundary.,Colour clearly extends past the drawn outline into the background or another object.,Colouring stays neatly within the outline.,"A very thin, barely-visible overflow at only one edge.",categorical,PRESENT|NOT_PRESENT|UNCERTAIN,yes,ANY_DRAWING,no,no,Requires a segmented region -- deferred (EG_F5).
